2021-02-15T14:12:48.112Z | Common Extension Root    | TRACE | Event: binaries-utility-version-v1
2021-02-15T14:13:30.244Z | Common Extension Root    | TRACE | Event: cli-client-get-version-success
2021-02-15T14:13:30.244Z | Common Extension Root    | TRACE | Found local CLI version: '1.0.20210126.4'. Minimum expected version: '1.0.20210126.1'
2021-02-15T14:13:30.244Z | Common Extension Root    | TRACE | Local CLI has version number '1.0.20210126.4', which is greater than or equal to the minimum requirement '1.0.20210126.1'
2021-02-15T14:13:30.245Z | Common Extension Root    | TRACE | Event: binaries-utility-ensure-cli-success <json>{"isUsingLocalBinaries":"false"}</json>
2021-02-15T14:13:30.246Z | Common Extension Root    | TRACE | Event: kubectl-client-command <json>{"args":"config view --minify -o json"}</json>
2021-02-15T14:13:30.254Z | Common Extension Root    | TRACE | Event: kubectl-client-command <json>{"args":"config view --minify -o json"}</json>
2021-02-15T14:13:30.307Z | Common Extension Root    | ERROR | Error: kubectl-client-command-error <json>{"args":"config view --minify -o json"}</json> <stack>Error: error: current-context must exist in order to minify\n\n	at ChildProcess.<anonymous> (/home/abinesh/.vscode/extensions/mindaro.mindaro-1.0.120210126/dist/extension.js:3:140460)\n	at ChildProcess.emit (events.js:315:20)\n	at ChildProcess.EventEmitter.emit (domain.js:483:12)\n	at Process.ChildProcess._handle.onexit (internal/child_process.js:275:12)</stack>
2021-02-15T14:13:30.308Z | Common Extension Root    | ERROR | Error: kubectl-client-current-context-retrieval-error <stack>Error: No kubeconfig file found at path /home/abinesh/.kube/config\n	at t.KubectlClient.<anonymous> (/home/abinesh/.vscode/extensions/mindaro.mindaro-1.0.120210126/dist/extension.js:3:141523)\n	at Generator.throw (<anonymous>)\n	at s (/home/abinesh/.vscode/extensions/mindaro.mindaro-1.0.120210126/dist/extension.js:3:140674)\n	at runMicrotasks (<anonymous>)\n	at processTicksAndRejections (internal/process/task_queues.js:97:5)</stack>
2021-02-15T14:13:30.319Z | Common Extension Root    | ERROR | Error: kubectl-client-command-error <json>{"args":"config view --minify -o json"}</json> <stack>Error: error: current-context must exist in order to minify\n\n	at ChildProcess.<anonymous> (/home/abinesh/.vscode/extensions/mindaro.mindaro-1.0.120210126/dist/extension.js:3:140460)\n	at ChildProcess.emit (events.js:315:20)\n	at ChildProcess.EventEmitter.emit (domain.js:483:12)\n	at Process.ChildProcess._handle.onexit (internal/child_process.js:275:12)</stack>
2021-02-15T14:13:30.320Z | Common Extension Root    | ERROR | Error: kubectl-client-current-context-retrieval-error <stack>Error: No kubeconfig file found at path /home/abinesh/.kube/config\n	at t.KubectlClient.<anonymous> (/home/abinesh/.vscode/extensions/mindaro.mindaro-1.0.120210126/dist/extension.js:3:141523)\n	at Generator.throw (<anonymous>)\n	at s (/home/abinesh/.vscode/extensions/mindaro.mindaro-1.0.120210126/dist/extension.js:3:140674)\n	at runMicrotasks (<anonymous>)\n	at processTicksAndRejections (internal/process/task_queues.js:97:5)</stack>
2021-02-15T14:13:30.321Z | Common Extension Root    | WARNG | Failed to retrieve a valid context from the kubeconfig present locally <stack>Error: Failed to get the current context from the kubeconfig: No kubeconfig file found at path /home/abinesh/.kube/config\n	at t.KubectlClient.<anonymous> (/home/abinesh/.vscode/extensions/mindaro.mindaro-1.0.120210126/dist/extension.js:3:141657)\n	at Generator.throw (<anonymous>)\n	at s (/home/abinesh/.vscode/extensions/mindaro.mindaro-1.0.120210126/dist/extension.js:3:140674)\n	at runMicrotasks (<anonymous>)\n	at processTicksAndRejections (internal/process/task_queues.js:97:5)</stack>
2021-02-15T14:13:30.322Z | Common Extension Root    | TRACE | Event: activation <json>{"workspacesCommonId":"eaf31b91-2e17-be9d-1c8c-1eeb5edbaeb9","workspaceFoldersCount":"1"}</json>
2021-02-15T14:13:30.322Z | Common Extension Root    | TRACE | Extension activated successfully
